event,year,track,title,authors,sol_link,pdf_url,file
ERRC,2025,principal,Análise de Desempenho e Eficácia da Sonda Zeek: Um Estudo Comparativo de Perfis de Execução sob Restrições de Recursos,"Rafael B. Torres, Rodrigo Brandão Mansilha, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39173,https://sol.sbc.org.br/index.php/errc/article/download/39173/38945,ERRC/2025/principal/39173_Analise-de-Desempenho-e-Eficacia-da-Sonda-Zeek-Um-Estudo-Comparativo-de-Perfis-de-Execucao.pdf
ERRC,2025,principal,Avaliação de uma Arquitetura Híbrida Borda-Nuvem para Monitoramento de Motores Elétricos em Tempo Real,"Guilherme Siqueira, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39175,https://sol.sbc.org.br/index.php/errc/article/download/39175/38947,ERRC/2025/principal/39175_Avaliacao-de-uma-Arquitetura-Hibrida-Borda-Nuvem-para-Monitoramento-de-Motores-Eletricos-e.pdf
ERRC,2025,principal,"IoTEdu: Access Control, Detection, and Automatic Incident Response in Academic IoT Networks","Joner Assolin, Diego Kreutz, Leandro Bertholdo",https://sol.sbc.org.br/index.php/errc/article/view/39179,https://sol.sbc.org.br/index.php/errc/article/download/39179/38951,ERRC/2025/principal/39179_IoTEdu-Access-Control-Detection-and-Automatic-Incident-Response-in-Academic-IoT-Networks.pdf
ERRC,2025,principal,IoTEdu: Network Services for the Automated Management of Campus Internet-of-Things Networks,"Leonardo Bitzki, Diego Kreutz, Leandro Bertholdo",https://sol.sbc.org.br/index.php/errc/article/view/39180,https://sol.sbc.org.br/index.php/errc/article/download/39180/38952,ERRC/2025/principal/39180_IoTEdu-Network-Services-for-the-Automated-Management-of-Campus-Internet-of-Things-Networks.pdf
ERRC,2025,principal,Net2d-LLM: Translating Structured Network Intents into CLI using LLMs with Execution in a Network Digital Twin,"Jerônimo Menezes, Leonardo Bitzki, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39181,https://sol.sbc.org.br/index.php/errc/article/download/39181/38953,ERRC/2025/principal/39181_Net2d-LLM-Translating-Structured-Network-Intents-into-CLI-using-LLMs-with-Execution-in-a-N.pdf
ERRC,2025,principal,AnonLFI 2.0: Extensible Architecture for PII Pseudonymization in CSIRTs with OCR and Technical Recognizers,"Cristhian Kapelinski, Douglas Lautert, Beatriz Machado, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39186,https://sol.sbc.org.br/index.php/errc/article/download/39186/38958,ERRC/2025/principal/39186_AnonLFI-20-Extensible-Architecture-for-PII-Pseudonymization-in-CSIRTs-with-OCR-and-Technic.pdf
ERRC,2025,principal,Assessing the Security Coverage of the Google Play Integrity API on Android,"Francis Vargas, Angelo Gaspar, Diego Kreutz, Rodrigo Mansilha",https://sol.sbc.org.br/index.php/errc/article/view/39189,https://sol.sbc.org.br/index.php/errc/article/download/39189/38961,ERRC/2025/principal/39189_Assessing-the-Security-Coverage-of-the-Google-Play-Integrity-API-on-Android.pdf
ERRC,2025,principal,On-Premise SLMs vs. Commercial LLMs: Prompt Engineering and Incident Classification in SOCs and CSIRTs,"Gefté Almeida, Marcio Pohlmann, Alex Severo, Diego Kreutz, Tiago Heinrich, Lourenço Pereira",https://sol.sbc.org.br/index.php/errc/article/view/39193,https://sol.sbc.org.br/index.php/errc/article/download/39193/38965,ERRC/2025/principal/39193_On-Premise-SLMs-vs-Commercial-LLMs-Prompt-Engineering-and-Incident-Classification-in-SOCs.pdf
ERRC,2025,principal,Reducing Instability in Synthetic Data Evaluation with a Super-Metric in MalDataGen,"Anna Luiza Gomes da Silva, Diego Kreutz, Angelo Diniz, Rodrigo Mansilha, Celso Nobre da Fonseca",https://sol.sbc.org.br/index.php/errc/article/view/39194,https://sol.sbc.org.br/index.php/errc/article/download/39194/38966,ERRC/2025/principal/39194_Reducing-Instability-in-Synthetic-Data-Evaluation-with-a-Super-Metric-in-MalDataGen.pdf
ERRC,2025,principal,Structured Extraction of Vulnerabilities in OpenVAS and Tenable WAS Reports Using LLMs,"Beatriz Machado, Douglas Lautert, Cristhian Kapelinski, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39195,https://sol.sbc.org.br/index.php/errc/article/download/39195/38967,ERRC/2025/principal/39195_Structured-Extraction-of-Vulnerabilities-in-OpenVAS-and-Tenable-WAS-Reports-Using-LLMs.pdf
ERRC,2025,principal,Temperature in SLMs: Impact on Incident Categorization in On-Premises Environments,"Marcio Pohlmann, Alex Severo, Gefte Almeida, Diego Kreutz, Tiago Heinrich, Lourenço Pereira",https://sol.sbc.org.br/index.php/errc/article/view/39196,https://sol.sbc.org.br/index.php/errc/article/download/39196/38968,ERRC/2025/principal/39196_Temperature-in-SLMs-Impact-on-Incident-Categorization-in-On-Premises-Environments.pdf
ERRC,2025,principal,Tune3: Otimização Multiestágio de Hiperparâmetros com Redução de Custo e Maior Estabilidade em Modelos de Detecção de Malware Android,"Lucas Ferreira Areias de Oliveira, Angelo Gaspar Diniz, Diego Kreutz, Dionatan Schmidt, Rodrigo Mansilha",https://sol.sbc.org.br/index.php/errc/article/view/39198,https://sol.sbc.org.br/index.php/errc/article/download/39198/38970,ERRC/2025/principal/39198_Tune3-Otimizacao-Multiestagio-de-Hiperparametros-com-Reducao-de-Custo-e-Maior-Estabilidade.pdf
ERRC,2025,principal,Mapeamento e Análise de Metodologias de Fraude Aplicadas ao Pix no Brasil,"Glener Lanes Pizzolato, Brenda Medeiros Lopes, Claudio Schepke, Diego Kreutz",https://sol.sbc.org.br/index.php/errc/article/view/39199,https://sol.sbc.org.br/index.php/errc/article/download/39199/38971,ERRC/2025/principal/39199_Mapeamento-e-Analise-de-Metodologias-de-Fraude-Aplicadas-ao-Pix-no-Brasil.pdf
ERRC,2024,principal,RouteBastion: Architecting a Broker for VRP APIs,"Pietro Vieira, Bruno Dalmazo, Diego Kreutz, Rodrigo Brandão Mansilha",https://sol.sbc.org.br/index.php/errc/article/view/35427,https://sol.sbc.org.br/index.php/errc/article/download/35427/35214,ERRC/2024/principal/35427_RouteBastion-Architecting-a-Broker-for-VRP-APIs.pdf
